"","cell_ID","cell_types"
"c_1_55_577","c_1_55_577","Acinar.1"
"c_1_55_697","c_1_55_697","Acinar.2"
"c_1_55_720","c_1_55_720","Acinar.1"
"c_1_55_792","c_1_55_792","Quiescent stellate"
"c_1_55_812","c_1_55_812","Acinar.1"
"c_1_55_820","c_1_55_820","Acinar.1"
"c_1_55_835","c_1_55_835","Acinar.1"
"c_1_55_975","c_1_55_975","Acinar.1"
"c_1_55_980","c_1_55_980","Active stellate"
"c_1_55_987","c_1_55_987","Acinar.2"
"c_1_56_1051","c_1_56_1051","Acinar.1"
"c_1_56_1076","c_1_56_1076","Acinar.2"
"c_1_56_1090","c_1_56_1090","Acinar.1"
"c_1_56_1148","c_1_56_1148","Acinar.1"
"c_1_56_1153","c_1_56_1153","Acinar.2"
"c_1_56_1185","c_1_56_1185","Acinar.1"
"c_1_56_1201","c_1_56_1201","Acinar.1"
"c_1_56_1277","c_1_56_1277","Acinar.1"
"c_1_56_1295","c_1_56_1295","Acinar.1"
"c_1_56_1297","c_1_56_1297","Acinar.1"
"c_1_56_1329","c_1_56_1329","Ductal"
"c_1_56_1332","c_1_56_1332","Acinar.1"
"c_1_56_1393","c_1_56_1393","Beta cells"
"c_1_56_1468","c_1_56_1468","Acinar.1"
"c_1_56_1521","c_1_56_1521","Acinar.1"
"c_1_56_1576","c_1_56_1576","Acinar.1"
"c_1_56_1736","c_1_56_1736","Ductal"
"c_1_56_1820","c_1_56_1820","Acinar.1"
"c_1_56_2014","c_1_56_2014","Acinar.2"
"c_1_56_2057","c_1_56_2057","Acinar.1"
"c_1_56_2194","c_1_56_2194","Ductal"
"c_1_56_2206","c_1_56_2206","Acinar.1"
"c_1_56_2219","c_1_56_2219","Acinar.1"
"c_1_56_2239","c_1_56_2239","Acinar.1"
"c_1_56_2249","c_1_56_2249","Ductal"
"c_1_56_2276","c_1_56_2276","Ductal"
"c_1_56_228","c_1_56_228","Acinar.1"
"c_1_56_2341","c_1_56_2341","Acinar.1"
"c_1_56_2400","c_1_56_2400","Ductal"
"c_1_56_2475","c_1_56_2475","Alpha cells"
"c_1_56_2499","c_1_56_2499","Acinar.1"
"c_1_56_2506","c_1_56_2506","Acinar.1"
"c_1_56_2620","c_1_56_2620","Acinar.1"
"c_1_56_2636","c_1_56_2636","Alpha cells"
"c_1_56_2652","c_1_56_2652","Acinar.1"
"c_1_56_2706","c_1_56_2706","Quiescent stellate"
"c_1_56_2787","c_1_56_2787","Acinar.1"
"c_1_56_336","c_1_56_336","Acinar.1"
"c_1_56_430","c_1_56_430","Acinar.1"
"c_1_56_515","c_1_56_515","Acinar.1"
"c_1_56_581","c_1_56_581","Acinar.1"
"c_1_56_606","c_1_56_606","Ductal"
"c_1_56_664","c_1_56_664","Acinar.1"
"c_1_56_725","c_1_56_725","Acinar.1"
"c_1_56_769","c_1_56_769","Ductal"
"c_1_56_790","c_1_56_790","Acinar.1"
"c_1_56_797","c_1_56_797","Ductal"
"c_1_56_867","c_1_56_867","Acinar.2"
"c_1_56_884","c_1_56_884","Acinar.1"
"c_1_57_107","c_1_57_107","Acinar.1"
"c_1_57_1114","c_1_57_1114","Acinar.1"
"c_1_57_1145","c_1_57_1145","Acinar.1"
"c_1_57_1175","c_1_57_1175","Acinar.1"
