"","cell_ID","cell_types"
"c_1_65_2619","c_1_65_2619","Ductal"
"c_1_65_2691","c_1_65_2691","Acinar.1"
"c_1_65_2804","c_1_65_2804","Beta cells"
"c_1_65_387","c_1_65_387","Ductal"
"c_1_65_393","c_1_65_393","Acinar.1"
"c_1_65_440","c_1_65_440","Alpha cells"
"c_1_65_474","c_1_65_474","Ductal"
"c_1_65_574","c_1_65_574","Acinar.1"
"c_1_65_694","c_1_65_694","Quiescent stellate"
"c_1_65_758","c_1_65_758","Acinar.1"
"c_1_65_780","c_1_65_780","Acinar.1"
"c_1_65_79","c_1_65_79","Acinar.1"
"c_1_65_80","c_1_65_80","Acinar.1"
"c_1_65_827","c_1_65_827","Acinar.1"
"c_1_65_900","c_1_65_900","Acinar.1"
"c_1_66_1038","c_1_66_1038","Acinar.1"
"c_1_66_1048","c_1_66_1048","Quiescent stellate"
"c_1_66_1061","c_1_66_1061","Quiescent stellate"
"c_1_66_1104","c_1_66_1104","Acinar.1"
"c_1_66_1124","c_1_66_1124","Acinar.2"
"c_1_66_1269","c_1_66_1269","Acinar.1"
"c_1_66_1313","c_1_66_1313","Ductal"
"c_1_66_1328","c_1_66_1328","Ductal"
"c_1_66_1343","c_1_66_1343","Ductal"
"c_1_66_1457","c_1_66_1457","Acinar.1"
"c_1_66_1468","c_1_66_1468","Acinar.1"
"c_1_66_1593","c_1_66_1593","Acinar.1"
"c_1_66_1604","c_1_66_1604","Acinar.1"
"c_1_66_1631","c_1_66_1631","Acinar.1"
"c_1_66_1672","c_1_66_1672","Acinar.1"
"c_1_66_1773","c_1_66_1773","Acinar.1"
"c_1_66_1913","c_1_66_1913","Acinar.1"
"c_1_66_1916","c_1_66_1916","Acinar.1"
"c_1_66_1920","c_1_66_1920","Ductal"
"c_1_66_1945","c_1_66_1945","Acinar.1"
"c_1_66_2112","c_1_66_2112","Acinar.2"
"c_1_66_2157","c_1_66_2157","Acinar.1"
"c_1_66_2215","c_1_66_2215","Acinar.1"
"c_1_66_2272","c_1_66_2272","Acinar.1"
"c_1_66_2392","c_1_66_2392","Acinar.1"
"c_1_66_2450","c_1_66_2450","Acinar.1"
"c_1_66_2612","c_1_66_2612","Acinar.1"
"c_1_66_273","c_1_66_273","Ductal"
"c_1_66_283","c_1_66_283","Ductal"
"c_1_66_409","c_1_66_409","Acinar.1"
"c_1_66_435","c_1_66_435","Acinar.1"
"c_1_66_450","c_1_66_450","Quiescent stellate"
"c_1_66_47","c_1_66_47","Acinar.1"
"c_1_66_558","c_1_66_558","Acinar.1"
"c_1_66_651","c_1_66_651","Acinar.1"
"c_1_66_677","c_1_66_677","Acinar.1"
"c_1_66_739","c_1_66_739","Acinar.1"
"c_1_66_854","c_1_66_854","Ductal"
"c_1_66_916","c_1_66_916","Acinar.1"
"c_1_66_934","c_1_66_934","Acinar.1"
"c_1_67_1253","c_1_67_1253","Acinar.1"
"c_1_67_1372","c_1_67_1372","Acinar.1"
"c_1_67_1509","c_1_67_1509","Acinar.1"
"c_1_67_162","c_1_67_162","Ductal"
"c_1_67_1647","c_1_67_1647","Acinar.1"
"c_1_67_196","c_1_67_196","Acinar.1"
"c_1_67_2022","c_1_67_2022","Acinar.2"
"c_1_67_2034","c_1_67_2034","Acinar.1"
"c_1_67_2171","c_1_67_2171","Acinar.1"
"c_1_67_2208","c_1_67_2208","Acinar.1"
"c_1_67_2233","c_1_67_2233","Acinar.1"
"c_1_67_2277","c_1_67_2277","Acinar.1"
"c_1_67_2317","c_1_67_2317","Ductal"
"c_1_67_2603","c_1_67_2603","Acinar.1"
"c_1_67_289","c_1_67_289","Acinar.1"
"c_1_67_344","c_1_67_344","Acinar.1"
"c_1_67_584","c_1_67_584","Acinar.1"
"c_1_67_61","c_1_67_61","Acinar.1"
"c_1_67_677","c_1_67_677","Ductal"
"c_1_67_710","c_1_67_710","Acinar.1"
"c_1_67_723","c_1_67_723","Acinar.1"
"c_1_67_855","c_1_67_855","Acinar.1"
"c_1_67_910","c_1_67_910","Acinar.1"
"c_1_67_936","c_1_67_936","Acinar.1"
"c_1_67_95","c_1_67_95","Acinar.1"
"c_1_68_1027","c_1_68_1027","Acinar.1"
"c_1_68_1331","c_1_68_1331","Quiescent stellate"
"c_1_68_1427","c_1_68_1427","Acinar.1"
"c_1_68_1485","c_1_68_1485","Ductal"
"c_1_68_1491","c_1_68_1491","Acinar.1"
"c_1_68_1499","c_1_68_1499","Acinar.1"
"c_1_68_1791","c_1_68_1791","Acinar.1"
"c_1_68_1822","c_1_68_1822","Acinar.1"
"c_1_68_1944","c_1_68_1944","Acinar.1"
"c_1_68_2502","c_1_68_2502","Acinar.1"
"c_1_68_598","c_1_68_598","Acinar.1"
"c_1_68_676","c_1_68_676","Acinar.1"
"c_1_68_835","c_1_68_835","Quiescent stellate"
"c_1_68_917","c_1_68_917","Acinar.1"
"c_1_51_164","c_1_51_164","Acinar.1"
"c_1_51_1738","c_1_51_1738","Acinar.1"
"c_1_51_1910","c_1_51_1910","Acinar.1"
"c_1_51_2052","c_1_51_2052","Acinar.1"
"c_1_51_2144","c_1_51_2144","Ductal"
"c_1_51_2166","c_1_51_2166","Acinar.1"
"c_1_51_2250","c_1_51_2250","Acinar.1"
"c_1_51_2572","c_1_51_2572","Acinar.1"
"c_1_51_258","c_1_51_258","Acinar.1"
"c_1_51_415","c_1_51_415","Acinar.1"
"c_1_51_428","c_1_51_428","Acinar.2"
"c_1_51_440","c_1_51_440","Acinar.2"
"c_1_51_622","c_1_51_622","Acinar.1"
"c_1_51_66","c_1_51_66","Acinar.1"
"c_1_51_809","c_1_51_809","Acinar.2"
"c_1_52_1172","c_1_52_1172","Ductal"
"c_1_52_1224","c_1_52_1224","Acinar.2"
"c_1_52_124","c_1_52_124","Acinar.1"
"c_1_52_1289","c_1_52_1289","Acinar.1"
"c_1_52_2163","c_1_52_2163","Acinar.1"
"c_1_52_2275","c_1_52_2275","Ductal"
"c_1_52_2283","c_1_52_2283","Ductal"
"c_1_52_2543","c_1_52_2543","Acinar.1"
"c_1_52_2584","c_1_52_2584","Acinar.1"
"c_1_52_2597","c_1_52_2597","Acinar.2"
"c_1_52_2719","c_1_52_2719","Ductal"
"c_1_52_327","c_1_52_327","Ductal"
"c_1_52_459","c_1_52_459","Acinar.1"
"c_1_52_500","c_1_52_500","Acinar.1"
"c_1_52_838","c_1_52_838","Acinar.1"
"c_1_52_849","c_1_52_849","Acinar.1"
"c_1_53_110","c_1_53_110","Acinar.1"
"c_1_53_1279","c_1_53_1279","Macrophage"
"c_1_53_1471","c_1_53_1471","Acinar.1"
"c_1_53_1499","c_1_53_1499","Ductal"
"c_1_53_1690","c_1_53_1690","Acinar.1"
"c_1_53_2039","c_1_53_2039","Acinar.1"
"c_1_53_2098","c_1_53_2098","Acinar.1"
"c_1_53_2311","c_1_53_2311","Beta cells"
"c_1_53_2363","c_1_53_2363","Ductal"
"c_1_53_246","c_1_53_246","Acinar.2"
"c_1_53_2678","c_1_53_2678","Ductal"
"c_1_53_27","c_1_53_27","Beta cells"
"c_1_53_2723","c_1_53_2723","Acinar.1"
"c_1_53_2805","c_1_53_2805","Acinar.1"
"c_1_53_712","c_1_53_712","Acinar.2"
"c_1_53_977","c_1_53_977","Acinar.1"
"c_1_54_1023","c_1_54_1023","Acinar.1"
"c_1_54_1102","c_1_54_1102","Acinar.1"
"c_1_54_1179","c_1_54_1179","Acinar.1"
"c_1_54_1349","c_1_54_1349","Ductal"
"c_1_54_1384","c_1_54_1384","Acinar.1"
"c_1_54_1450","c_1_54_1450","Acinar.1"
"c_1_54_1503","c_1_54_1503","Ductal"
"c_1_54_1515","c_1_54_1515","Acinar.1"
"c_1_54_154","c_1_54_154","Beta cells"
"c_1_54_1588","c_1_54_1588","Acinar.1"
"c_1_54_1638","c_1_54_1638","Acinar.2"
"c_1_54_2011","c_1_54_2011","Acinar.1"
"c_1_54_2084","c_1_54_2084","Acinar.1"
"c_1_54_2195","c_1_54_2195","Acinar.1"
"c_1_54_2379","c_1_54_2379","Acinar.1"
"c_1_54_2531","c_1_54_2531","Acinar.1"
"c_1_54_403","c_1_54_403","Acinar.1"
"c_1_54_708","c_1_54_708","Acinar.1"
"c_1_54_769","c_1_54_769","Acinar.1"
"c_1_54_793","c_1_54_793","Quiescent stellate"
"c_1_54_915","c_1_54_915","Acinar.1"
"c_1_54_997","c_1_54_997","Ductal"
"c_1_55_1047","c_1_55_1047","Acinar.1"
"c_1_55_1155","c_1_55_1155","Acinar.1"
"c_1_55_1409","c_1_55_1409","Acinar.2"
"c_1_55_1842","c_1_55_1842","Acinar.1"
"c_1_55_2022","c_1_55_2022","Acinar.1"
"c_1_55_2127","c_1_55_2127","Acinar.1"
"c_1_55_2243","c_1_55_2243","Acinar.1"
"c_1_55_2258","c_1_55_2258","Ductal"
"c_1_55_2299","c_1_55_2299","Ductal"
"c_1_55_2729","c_1_55_2729","Quiescent stellate"
"c_1_55_2903","c_1_55_2903","Ductal"
"c_1_55_33","c_1_55_33","Acinar.1"
"c_1_55_623","c_1_55_623","Acinar.1"
"c_1_55_71","c_1_55_71","Ductal"
"c_1_55_721","c_1_55_721","Acinar.1"
"c_1_56_1135","c_1_56_1135","Acinar.1"
"c_1_56_1232","c_1_56_1232","Acinar.1"
"c_1_56_1529","c_1_56_1529","Acinar.1"
"c_1_56_153","c_1_56_153","Acinar.1"
"c_1_56_1784","c_1_56_1784","Acinar.1"
"c_1_56_1785","c_1_56_1785","Ductal"
"c_1_56_1853","c_1_56_1853","Acinar.1"
"c_1_56_1933","c_1_56_1933","Acinar.1"
"c_1_56_1970","c_1_56_1970","Ductal"
"c_1_56_2280","c_1_56_2280","Ductal"
"c_1_56_2471","c_1_56_2471","Beta cells"
"c_1_56_2524","c_1_56_2524","Acinar.1"
"c_1_56_406","c_1_56_406","Acinar.1"
"c_1_56_497","c_1_56_497","Acinar.1"
"c_1_56_512","c_1_56_512","Ductal"
"c_1_56_640","c_1_56_640","Acinar.1"
"c_1_56_701","c_1_56_701","Acinar.1"
"c_1_57_1034","c_1_57_1034","Ductal"
"c_1_57_1082","c_1_57_1082","Ductal"
"c_1_57_1395","c_1_57_1395","Acinar.1"
"c_1_57_1522","c_1_57_1522","Acinar.1"
"c_1_57_154","c_1_57_154","Acinar.1"
"c_1_57_1734","c_1_57_1734","Acinar.1"
"c_1_57_2043","c_1_57_2043","Acinar.1"
"c_1_57_2097","c_1_57_2097","Ductal"
"c_1_57_2136","c_1_57_2136","Beta cells"
"c_1_57_2143","c_1_57_2143","Acinar.1"
"c_1_57_2335","c_1_57_2335","Acinar.1"
"c_1_57_2466","c_1_57_2466","Acinar.1"
"c_1_57_2588","c_1_57_2588","Acinar.1"
"c_1_57_2687","c_1_57_2687","Acinar.1"
"c_1_57_296","c_1_57_296","Ductal"
"c_1_57_486","c_1_57_486","Quiescent stellate"
"c_1_58_1181","c_1_58_1181","Ductal"
"c_1_58_1184","c_1_58_1184","Ductal"
"c_1_58_1226","c_1_58_1226","Acinar.1"
"c_1_58_1251","c_1_58_1251","Ductal"
"c_1_58_1545","c_1_58_1545","Ductal"
"c_1_58_1799","c_1_58_1799","Acinar.1"
"c_1_58_1801","c_1_58_1801","Acinar.1"
"c_1_58_2180","c_1_58_2180","Beta cells"
"c_1_58_2345","c_1_58_2345","Acinar.1"
"c_1_58_2654","c_1_58_2654","Acinar.1"
"c_1_58_2659","c_1_58_2659","Ductal"
"c_1_58_2688","c_1_58_2688","Acinar.1"
"c_1_58_275","c_1_58_275","Acinar.1"
"c_1_58_390","c_1_58_390","Ductal"
"c_1_58_461","c_1_58_461","Acinar.1"
"c_1_58_521","c_1_58_521","Acinar.1"
"c_1_58_560","c_1_58_560","Acinar.1"
"c_1_58_877","c_1_58_877","Acinar.1"
"c_1_59_1013","c_1_59_1013","Acinar.1"
"c_1_59_1215","c_1_59_1215","Acinar.1"
"c_1_59_1288","c_1_59_1288","Acinar.1"
"c_1_59_1343","c_1_59_1343","Ductal"
"c_1_59_1441","c_1_59_1441","Acinar.1"
"c_1_59_1592","c_1_59_1592","Acinar.2"
"c_1_59_1622","c_1_59_1622","Acinar.1"
"c_1_59_1643","c_1_59_1643","Ductal"
"c_1_59_1647","c_1_59_1647","Acinar.1"
"c_1_59_1669","c_1_59_1669","Acinar.2"
"c_1_59_1690","c_1_59_1690","Ductal"
"c_1_59_1820","c_1_59_1820","Quiescent stellate"
"c_1_59_1841","c_1_59_1841","Ductal"
"c_1_59_188","c_1_59_188","Acinar.1"
"c_1_59_1899","c_1_59_1899","Acinar.1"
"c_1_59_1981","c_1_59_1981","Acinar.1"
"c_1_59_2013","c_1_59_2013","Acinar.2"
"c_1_59_2051","c_1_59_2051","Ductal"
"c_1_59_2244","c_1_59_2244","Acinar.2"
"c_1_59_2492","c_1_59_2492","Acinar.2"
"c_1_59_2520","c_1_59_2520","Acinar.1"
"c_1_59_2526","c_1_59_2526","Acinar.1"
"c_1_59_2580","c_1_59_2580","Ductal"
"c_1_59_2633","c_1_59_2633","Acinar.1"
"c_1_59_2640","c_1_59_2640","Ductal"
"c_1_59_2742","c_1_59_2742","Ductal"
"c_1_59_2751","c_1_59_2751","Acinar.1"
"c_1_59_481","c_1_59_481","Acinar.1"
"c_1_59_494","c_1_59_494","Beta cells"
"c_1_59_54","c_1_59_54","Ductal"
"c_1_59_56","c_1_59_56","Acinar.1"
"c_1_59_691","c_1_59_691","Ductal"
"c_1_59_761","c_1_59_761","Acinar.1"
"c_1_59_791","c_1_59_791","Acinar.1"
"c_1_59_899","c_1_59_899","Acinar.1"
"c_1_60_1302","c_1_60_1302","Acinar.1"
"c_1_60_1318","c_1_60_1318","Ductal"
"c_1_60_1398","c_1_60_1398","Acinar.1"
"c_1_60_1485","c_1_60_1485","Acinar.1"
"c_1_60_1499","c_1_60_1499","Acinar.1"
"c_1_60_1954","c_1_60_1954","Acinar.1"
"c_1_60_2077","c_1_60_2077","Ductal"
"c_1_60_2206","c_1_60_2206","Acinar.1"
"c_1_60_2298","c_1_60_2298","Beta cells"
"c_1_60_284","c_1_60_284","Ductal"
"c_1_60_413","c_1_60_413","Acinar.1"
"c_1_60_636","c_1_60_636","Acinar.1"
"c_1_60_779","c_1_60_779","Acinar.1"
"c_1_61_1123","c_1_61_1123","Acinar.1"
"c_1_61_1218","c_1_61_1218","Acinar.1"
"c_1_61_1923","c_1_61_1923","Acinar.1"
"c_1_61_205","c_1_61_205","Acinar.1"
"c_1_61_2314","c_1_61_2314","Ductal"
"c_1_61_2348","c_1_61_2348","Acinar.1"
"c_1_61_2359","c_1_61_2359","Acinar.1"
"c_1_61_2385","c_1_61_2385","Acinar.1"
"c_1_61_346","c_1_61_346","Acinar.2"
"c_1_61_465","c_1_61_465","Acinar.2"
"c_1_61_488","c_1_61_488","Acinar.1"
"c_1_61_50","c_1_61_50","Acinar.2"
"c_1_61_594","c_1_61_594","Ductal"
"c_1_61_871","c_1_61_871","Acinar.1"
"c_1_62_1113","c_1_62_1113","Acinar.1"
"c_1_62_1363","c_1_62_1363","Ductal"
"c_1_62_1414","c_1_62_1414","Acinar.1"
"c_1_62_1934","c_1_62_1934","Acinar.1"
"c_1_62_198","c_1_62_198","Acinar.2"
"c_1_62_2278","c_1_62_2278","Acinar.1"
"c_1_62_2310","c_1_62_2310","Acinar.1"
"c_1_62_375","c_1_62_375","Acinar.1"
"c_1_62_409","c_1_62_409","Acinar.1"
"c_1_62_678","c_1_62_678","Ductal"
"c_1_62_825","c_1_62_825","Acinar.1"
"c_1_63_1045","c_1_63_1045","Acinar.1"
"c_1_63_1132","c_1_63_1132","Ductal"
"c_1_63_1198","c_1_63_1198","Beta cells"
"c_1_63_1313","c_1_63_1313","Alpha cells"
"c_1_63_1348","c_1_63_1348","Alpha cells"
"c_1_63_1350","c_1_63_1350","Acinar.1"
"c_1_63_1461","c_1_63_1461","Acinar.1"
"c_1_63_161","c_1_63_161","Quiescent stellate"
"c_1_63_176","c_1_63_176","Ductal"
"c_1_63_1781","c_1_63_1781","Acinar.1"
"c_1_63_1921","c_1_63_1921","Acinar.1"
"c_1_63_1956","c_1_63_1956","Ductal"
"c_1_63_2257","c_1_63_2257","Acinar.1"
"c_1_63_2353","c_1_63_2353","Acinar.1"
"c_1_63_2391","c_1_63_2391","Alpha cells"
"c_1_63_283","c_1_63_283","Beta cells"
"c_1_63_366","c_1_63_366","Acinar.1"
"c_1_63_512","c_1_63_512","Acinar.1"
"c_1_64_1010","c_1_64_1010","Acinar.2"
"c_1_64_1012","c_1_64_1012","Acinar.1"
"c_1_64_120","c_1_64_120","Ductal"
"c_1_64_13","c_1_64_13","Acinar.1"
"c_1_64_1528","c_1_64_1528","Acinar.2"
"c_1_64_1553","c_1_64_1553","Acinar.1"
"c_1_64_1589","c_1_64_1589","Acinar.1"
"c_1_64_160","c_1_64_160","Acinar.1"
"c_1_64_1631","c_1_64_1631","Acinar.1"
"c_1_64_1633","c_1_64_1633","Acinar.1"
"c_1_64_1770","c_1_64_1770","Quiescent stellate"
"c_1_64_1941","c_1_64_1941","Acinar.1"
"c_1_64_1970","c_1_64_1970","Ductal"
"c_1_64_2048","c_1_64_2048","Ductal"
"c_1_64_2086","c_1_64_2086","Ductal"
"c_1_64_2747","c_1_64_2747","Acinar.1"
"c_1_64_2828","c_1_64_2828","Acinar.1"
"c_1_64_339","c_1_64_339","Acinar.2"
"c_1_64_379","c_1_64_379","Ductal"
"c_1_64_640","c_1_64_640","Acinar.1"
"c_1_64_713","c_1_64_713","Acinar.1"
"c_1_64_759","c_1_64_759","Acinar.1"
"c_1_64_76","c_1_64_76","Acinar.2"
"c_1_64_965","c_1_64_965","Ductal"
"c_1_65_1177","c_1_65_1177","Acinar.1"
"c_1_65_1317","c_1_65_1317","Acinar.1"
"c_1_65_1410","c_1_65_1410","Ductal"
"c_1_65_1874","c_1_65_1874","Acinar.1"
"c_1_65_1884","c_1_65_1884","Acinar.1"
"c_1_65_1898","c_1_65_1898","Acinar.2"
"c_1_65_1997","c_1_65_1997","Acinar.1"
"c_1_65_2062","c_1_65_2062","Acinar.1"
"c_1_65_211","c_1_65_211","Ductal"
"c_1_65_2134","c_1_65_2134","Acinar.1"
"c_1_65_2485","c_1_65_2485","Acinar.1"
"c_1_65_2697","c_1_65_2697","Acinar.2"
"c_1_65_63","c_1_65_63","Acinar.1"
"c_1_65_790","c_1_65_790","Acinar.1"
"c_1_65_90","c_1_65_90","Acinar.1"
"c_1_65_922","c_1_65_922","Ductal"
"c_1_65_989","c_1_65_989","Ductal"
"c_1_66_1201","c_1_66_1201","Acinar.1"
"c_1_66_1429","c_1_66_1429","Ductal"
"c_1_66_1697","c_1_66_1697","Acinar.1"
"c_1_66_1794","c_1_66_1794","Acinar.1"
"c_1_66_2059","c_1_66_2059","Acinar.1"
"c_1_66_2344","c_1_66_2344","Ductal"
"c_1_66_2501","c_1_66_2501","Acinar.1"
"c_1_66_466","c_1_66_466","Ductal"
"c_1_66_849","c_1_66_849","Acinar.1"
"c_1_66_946","c_1_66_946","Acinar.1"
"c_1_67_1219","c_1_67_1219","Acinar.1"
"c_1_67_1523","c_1_67_1523","Acinar.1"
"c_1_67_1544","c_1_67_1544","Ductal"
"c_1_67_1995","c_1_67_1995","Acinar.1"
"c_1_67_2168","c_1_67_2168","Ductal"
"c_1_67_2252","c_1_67_2252","Ductal"
"c_1_67_2269","c_1_67_2269","Ductal"
"c_1_67_2528","c_1_67_2528","Acinar.1"
"c_1_67_349","c_1_67_349","Acinar.1"
"c_1_67_419","c_1_67_419","Acinar.1"
"c_1_67_439","c_1_67_439","Acinar.1"
"c_1_67_621","c_1_67_621","Acinar.1"
"c_1_67_757","c_1_67_757","Acinar.1"
"c_1_67_793","c_1_67_793","Ductal"
"c_1_67_87","c_1_67_87","Acinar.1"
"c_1_67_912","c_1_67_912","Acinar.1"
"c_1_68_1017","c_1_68_1017","Acinar.1"
"c_1_68_1215","c_1_68_1215","Acinar.1"
"c_1_68_159","c_1_68_159","Ductal"
"c_1_68_1751","c_1_68_1751","Acinar.1"
"c_1_68_2072","c_1_68_2072","Acinar.1"
"c_1_68_2129","c_1_68_2129","Acinar.1"
"c_1_68_2324","c_1_68_2324","Acinar.1"
"c_1_68_240","c_1_68_240","Acinar.2"
"c_1_68_243","c_1_68_243","Ductal"
"c_1_68_2506","c_1_68_2506","Acinar.1"
"c_1_68_2644","c_1_68_2644","Acinar.2"
"c_1_68_391","c_1_68_391","Acinar.1"
"c_1_68_610","c_1_68_610","Acinar.1"
"c_1_68_73","c_1_68_73","Acinar.1"
"c_1_68_739","c_1_68_739","Acinar.1"
"c_1_68_812","c_1_68_812","Acinar.1"
"c_1_68_852","c_1_68_852","Acinar.1"
"c_1_68_943","c_1_68_943","Acinar.1"
"c_1_51_1335","c_1_51_1335","Active stellate"
"c_1_51_1947","c_1_51_1947","Active stellate"
"c_1_51_2211","c_1_51_2211","Ductal"
"c_1_51_2316","c_1_51_2316","Acinar.1"
"c_1_51_425","c_1_51_425","Acinar.2"
"c_1_51_750","c_1_51_750","Acinar.2"
"c_1_52_1058","c_1_52_1058","Beta cells"
"c_1_52_1315","c_1_52_1315","Alpha cells"
"c_1_52_1334","c_1_52_1334","Ductal"
"c_1_52_1672","c_1_52_1672","Beta cells"
"c_1_52_1742","c_1_52_1742","Beta cells"
"c_1_52_1745","c_1_52_1745","Ductal"
"c_1_52_1822","c_1_52_1822","Acinar.1"
"c_1_52_1832","c_1_52_1832","Beta cells"
"c_1_52_1849","c_1_52_1849","Acinar.1"
"c_1_52_1909","c_1_52_1909","Ductal"
"c_1_52_1995","c_1_52_1995","Ductal"
"c_1_52_2166","c_1_52_2166","Ductal"
"c_1_52_2355","c_1_52_2355","Acinar.1"
"c_1_52_274","c_1_52_274","Ductal"
"c_1_52_557","c_1_52_557","Acinar.2"
"c_1_52_689","c_1_52_689","Ductal"
"c_1_52_841","c_1_52_841","Acinar.2"
"c_1_52_948","c_1_52_948","Acinar.1"
"c_1_53_1000","c_1_53_1000","Acinar.1"
"c_1_53_1616","c_1_53_1616","Acinar.1"
"c_1_53_1776","c_1_53_1776","Active stellate"
"c_1_53_23","c_1_53_23","Alpha cells"
"c_1_53_239","c_1_53_239","Alpha cells"
"c_1_53_2591","c_1_53_2591","Beta cells"
"c_1_53_2638","c_1_53_2638","Ductal"
"c_1_53_366","c_1_53_366","Alpha cells"
"c_1_53_383","c_1_53_383","Alpha cells"
"c_1_53_979","c_1_53_979","Acinar.1"
"c_1_54_1210","c_1_54_1210","Acinar.1"
"c_1_54_147","c_1_54_147","Acinar.1"
"c_1_54_160","c_1_54_160","Acinar.1"
"c_1_54_1906","c_1_54_1906","Ductal"
"c_1_54_2064","c_1_54_2064","Acinar.1"
"c_1_54_256","c_1_54_256","Acinar.2"
"c_1_54_559","c_1_54_559","Acinar.1"
"c_1_54_637","c_1_54_637","Acinar.1"
"c_1_54_99","c_1_54_99","Acinar.1"
"c_1_55_1146","c_1_55_1146","Ductal"
"c_1_55_1386","c_1_55_1386","Acinar.1"
"c_1_55_1823","c_1_55_1823","Acinar.1"
"c_1_55_214","c_1_55_214","Acinar.1"
"c_1_55_246","c_1_55_246","Ductal"
"c_1_55_2525","c_1_55_2525","Acinar.1"
"c_1_55_407","c_1_55_407","Acinar.1"
"c_1_55_411","c_1_55_411","Acinar.1"
"c_1_55_562","c_1_55_562","Acinar.1"
"c_1_55_619","c_1_55_619","Ductal"
"c_1_55_857","c_1_55_857","Beta cells"
"c_1_56_1209","c_1_56_1209","Acinar.1"
"c_1_56_1377","c_1_56_1377","Acinar.1"
"c_1_56_1467","c_1_56_1467","Ductal"
"c_1_56_1569","c_1_56_1569","Gamma cells"
"c_1_56_1811","c_1_56_1811","Acinar.1"
"c_1_56_1836","c_1_56_1836","Alpha cells"
"c_1_56_1872","c_1_56_1872","Acinar.1"
"c_1_56_1926","c_1_56_1926","Ductal"
"c_1_56_1957","c_1_56_1957","Beta cells"
"c_1_56_2456","c_1_56_2456","Beta cells"
"c_1_56_482","c_1_56_482","Ductal"
"c_1_57_1276","c_1_57_1276","Acinar.1"
"c_1_57_1289","c_1_57_1289","Acinar.1"
"c_1_57_1949","c_1_57_1949","Acinar.1"
"c_1_57_2000","c_1_57_2000","Acinar.1"
"c_1_57_2323","c_1_57_2323","Acinar.1"
"c_1_57_2358","c_1_57_2358","Beta cells"
"c_1_57_2752","c_1_57_2752","Ductal"
"c_1_57_366","c_1_57_366","Acinar.1"
"c_1_57_540","c_1_57_540","Acinar.2"
"c_1_57_716","c_1_57_716","Acinar.1"
"c_1_57_745","c_1_57_745","Acinar.1"
"c_1_57_909","c_1_57_909","Acinar.1"
"c_1_57_928","c_1_57_928","Acinar.2"
"c_1_58_2013","c_1_58_2013","Acinar.1"
"c_1_58_220","c_1_58_220","Acinar.2"
"c_1_58_2231","c_1_58_2231","Acinar.1"
"c_1_58_2276","c_1_58_2276","Delta cells"
"c_1_58_2282","c_1_58_2282","Acinar.1"
"c_1_58_2484","c_1_58_2484","Acinar.1"
"c_1_58_2542","c_1_58_2542","Ductal"
"c_1_58_2862","c_1_58_2862","Acinar.1"
"c_1_58_298","c_1_58_298","Ductal"
"c_1_58_539","c_1_58_539","Acinar.1"
"c_1_58_903","c_1_58_903","Acinar.1"
"c_1_58_964","c_1_58_964","Acinar.1"
"c_1_59_1195","c_1_59_1195","Acinar.1"
"c_1_59_1263","c_1_59_1263","Acinar.1"
"c_1_59_1331","c_1_59_1331","Ductal"
"c_1_59_1374","c_1_59_1374","Ductal"
"c_1_59_1393","c_1_59_1393","Macrophage"
"c_1_59_1482","c_1_59_1482","Acinar.2"
"c_1_59_1574","c_1_59_1574","Acinar.2"
"c_1_59_1816","c_1_59_1816","Acinar.1"
"c_1_59_1991","c_1_59_1991","Ductal"
"c_1_59_2082","c_1_59_2082","Acinar.2"
"c_1_59_2310","c_1_59_2310","Quiescent stellate"
"c_1_59_2324","c_1_59_2324","Acinar.1"
"c_1_59_247","c_1_59_247","Ductal"
"c_1_59_458","c_1_59_458","Acinar.1"
"c_1_59_530","c_1_59_530","Alpha cells"
"c_1_59_533","c_1_59_533","Gamma cells"
"c_1_59_701","c_1_59_701","Ductal"
"c_1_59_788","c_1_59_788","Acinar.1"
"c_1_59_839","c_1_59_839","Acinar.2"
"c_1_60_1046","c_1_60_1046","Macrophage"
"c_1_60_140","c_1_60_140","Ductal"
"c_1_60_1455","c_1_60_1455","Beta cells"
"c_1_60_1723","c_1_60_1723","Acinar.1"
"c_1_60_1784","c_1_60_1784","Acinar.1"
"c_1_60_1909","c_1_60_1909","Acinar.1"
"c_1_60_2047","c_1_60_2047","Ductal"
"c_1_60_2211","c_1_60_2211","Gamma cells"
"c_1_60_2346","c_1_60_2346","Beta cells"
"c_1_60_2380","c_1_60_2380","Beta cells"
"c_1_60_400","c_1_60_400","Quiescent stellate"
"c_1_60_820","c_1_60_820","Acinar.1"
"c_1_61_1383","c_1_61_1383","Acinar.1"
"c_1_61_143","c_1_61_143","Acinar.2"
"c_1_61_1554","c_1_61_1554","Acinar.1"
"c_1_61_1685","c_1_61_1685","Acinar.1"
"c_1_61_2119","c_1_61_2119","Alpha cells"
"c_1_61_2152","c_1_61_2152","Ductal"
"c_1_61_2352","c_1_61_2352","Acinar.1"
"c_1_61_2510","c_1_61_2510","Acinar.1"
"c_1_61_2551","c_1_61_2551","Acinar.1"
"c_1_61_2657","c_1_61_2657","Acinar.1"
"c_1_61_372","c_1_61_372","Acinar.1"
"c_1_61_52","c_1_61_52","Delta cells"
"c_1_61_60","c_1_61_60","Gamma cells"
"c_1_61_884","c_1_61_884","Acinar.1"
"c_1_61_923","c_1_61_923","Ductal"
