,cell_types
26-2951,neutrophil
1-1876,B-cell
11-3807,tumor
16-3310,fibroblast
26-706,monocyte
26-94,tumor
1-1306,mDC
11-2116,tumor
11-2,endothelial
16-2605,tumor
21-2417,endothelial
1-1286,T CD8 naive
1-2271,endothelial
6-4951,T CD4 naive
16-1167,tumor
11-1041,tumor
16-644,plasmablast
16-2967,Treg
26-2912,fibroblast
6-356,tumor
1-202,mDC
21-268,mDC
1-1551,B-cell
11-2445,tumor
21-2340,endothelial
1-796,epithelial
6-1985,T CD8 naive
11-2269,tumor
16-2035,tumor
1-311,mDC
1-1322,macrophage
6-2311,macrophage
11-2154,tumor
16-2952,fibroblast
1-249,T CD4 naive
6-259,tumor
11-2191,tumor
11-2038,tumor
16-1894,tumor
16-138,plasmablast
6-4975,T CD4 naive
21-2294,mDC
26-3397,plasmablast
1-1903,T CD8 naive
1-1473,neutrophil
6-3470,T CD4 naive
6-3291,B-cell
21-2210,fibroblast
6-1829,pDC
6-1760,endothelial
16-2498,tumor
16-1945,tumor
21-2188,fibroblast
26-958,mDC
1-588,mast
6-4762,fibroblast
11-1996,tumor
16-3216,plasmablast
11-1340,tumor
16-3833,fibroblast
21-2897,pDC
26-755,endothelial
1-2322,plasmablast
1-2102,endothelial
16-1835,fibroblast
21-2105,plasmablast
21-886,pDC
26-3594,endothelial
1-269,NK
11-1310,tumor
16-2982,plasmablast
1-1580,T CD4 naive
1-1199,T CD4 naive
6-4667,plasmablast
16-539,pDC
21-511,endothelial
26-2,tumor
1-732,T CD4 naive
6-3253,T CD4 memory
6-3132,B-cell
26-717,endothelial
6-542,tumor
26-468,tumor
26-57,tumor
6-315,tumor
11-1399,tumor
6-1683,B-cell
6-1551,macrophage
21-585,endothelial
1-1623,pDC
26-278,tumor
6-1180,tumor
6-658,tumor
11-2521,tumor
11-335,tumor
16-3356,tumor
21-2418,fibroblast
6-3691,T CD8 naive
16-1281,tumor
21-1009,fibroblast
21-835,fibroblast
21-483,fibroblast
6-504,tumor
11-2567,tumor
11-3187,tumor
26-804,mDC
6-1626,T CD4 naive
6-1114,tumor
21-2322,fibroblast
1-2291,neutrophil
6-3642,T CD4 memory
6-413,tumor
16-3516,tumor
1-346,epithelial
6-1073,tumor
11-3030,epithelial
16-191,plasmablast
26-310,neutrophil
6-5085,T CD4 naive
11-2432,tumor
11-1233,tumor
16-911,fibroblast
21-2389,endothelial
26-2921,macrophage
1-1848,mast
6-479,tumor
16-2544,tumor
16-1669,tumor
16-1605,tumor
6-3100,T CD4 naive
6-2701,epithelial
11-664,tumor
11-290,tumor
6-5099,B-cell
6-1425,plasmablast
16-2643,tumor
16-2598,tumor
1-1684,endothelial
11-719,tumor
11-586,tumor
11-2984,plasmablast
26-2520,neutrophil
6-2140,fibroblast
6-556,tumor
16-967,fibroblast
16-611,fibroblast
1-1723,endothelial
6-784,tumor
16-1115,tumor
26-2964,B-cell
6-234,tumor
6-607,tumor
11-246,epithelial
21-961,pDC
26-2874,tumor
1-1767,plasmablast
6-3607,NK
11-2323,tumor
11-1119,tumor
11-903,tumor
1-1264,T CD8 naive
11-1264,tumor
11-1213,tumor
16-3614,tumor
16-350,plasmablast
26-460,tumor
26-419,tumor
16-3905,epithelial
16-422,plasmablast
21-2139,pDC
21-2416,fibroblast
6-710,tumor
11-556,tumor
21-274,fibroblast
1-630,mast
11-1681,tumor
16-570,plasmablast
1-2085,tumor
6-3287,T CD4 naive
16-751,plasmablast
21-1442,fibroblast
21-545,endothelial
21-2352,fibroblast
26-3210,plasmablast
1-1702,endothelial
16-1000,epithelial
21-2907,fibroblast
1-1827,T CD4 naive
1-1304,mDC
11-3513,tumor
11-654,tumor
26-897,mDC
26-845,macrophage
1-1372,pDC
6-1500,plasmablast
1-1326,B-cell
26-681,tumor
11-500,tumor
1-1351,pDC
6-2635,T CD4 naive
16-1,fibroblast
26-363,tumor
1-1781,plasmablast
26-2086,plasmablast
6-5047,endothelial
6-2751,macrophage
11-2439,tumor
11-2155,tumor
11-3022,epithelial
26-3330,plasmablast
26-1008,mDC
1-1608,B-cell
6-3224,T CD4 naive
26-557,fibroblast
6-365,tumor
11-288,epithelial
6-4979,T CD4 naive
11-1435,tumor
16-463,pDC
6-4628,plasmablast
26-95,tumor
11-1411,tumor
26-528,fibroblast
26-32,tumor
6-3745,plasmablast
11-2002,neutrophil
26-3228,plasmablast
26-488,tumor
16-144,plasmablast
26-123,tumor
1-1560,macrophage
1-2032,mDC
1-37,epithelial
6-3267,fibroblast
6-2828,macrophage
11-2204,tumor
16-2488,tumor
21-1075,pDC
11-1742,tumor
11-638,tumor
16-1890,fibroblast
16-3532,tumor
6-220,tumor
11-1319,tumor
11-983,tumor
16-388,neutrophil
16-860,plasmablast
26-2745,mDC
26-925,macrophage
6-5160,fibroblast
