,cell_types
13-2604,neutrophil
28-1467,pDC
13-1609,neutrophil
23-1744,macrophage
23-2252,fibroblast
28-2726,T CD4 memory
28-384,plasmablast
8-3020,tumor
8-2663,tumor
13-1715,neutrophil
23-166,mDC
13-48,neutrophil
18-1512,neutrophil
23-2328,T CD8 naive
13-2631,neutrophil
18-1490,neutrophil
18-556,epithelial
18-52,B-cell
3-2073,neutrophil
8-639,plasmablast
28-570,B-cell
8-1311,tumor
23-1799,fibroblast
28-3207,fibroblast
3-100,T CD4 naive
8-1729,tumor
8-1034,tumor
13-2167,neutrophil
18-1854,macrophage
28-1614,T CD4 naive
28-3374,endothelial
18-874,NK
28-2349,tumor
3-2684,fibroblast
3-847,endothelial
23-2596,mDC
28-1825,fibroblast
8-165,endothelial
13-1835,neutrophil
8-1058,tumor
8-195,mDC
13-530,neutrophil
18-694,NK
13-1386,macrophage
13-286,macrophage
13-2570,endothelial
13-2390,neutrophil
28-1373,B-cell
3-1290,epithelial
3-1149,T CD4 naive
8-3085,tumor
23-1631,mDC
28-3638,fibroblast
3-302,neutrophil
13-410,macrophage
23-1165,neutrophil
8-3061,tumor
13-2090,tumor
23-1108,monocyte
8-1089,tumor
13-1516,neutrophil
28-3240,fibroblast
28-988,plasmablast
13-2140,epithelial
13-1668,neutrophil
13-839,macrophage
8-3097,tumor
8-2330,fibroblast
13-11,tumor
23-2891,mDC
23-1488,fibroblast
8-937,tumor
13-2686,neutrophil
13-904,neutrophil
28-262,neutrophil
8-1699,tumor
23-579,monocyte
28-2387,tumor
18-787,tumor
18-70,T CD4 naive
23-1386,macrophage
23-2620,mDC
23-2540,monocyte
28-538,B-cell
13-741,plasmablast
28-52,fibroblast
13-144,macrophage
23-1080,fibroblast
28-3107,B-cell
8-1875,tumor
8-2185,fibroblast
18-725,neutrophil
28-149,B-cell
3-1250,epithelial
18-1792,neutrophil
28-3096,B-cell
28-512,fibroblast
18-1466,neutrophil
28-1037,B-cell
8-2625,tumor
13-378,macrophage
18-1880,neutrophil
18-1796,neutrophil
23-2584,monocyte
28-2427,epithelial
8-1839,tumor
3-1091,fibroblast
8-2141,mast
13-2554,fibroblast
23-1445,mDC
28-2012,neutrophil
8-2612,tumor
8-2198,fibroblast
23-2665,fibroblast
23-733,monocyte
28-2696,mast
8-2665,tumor
28-1694,pDC
3-1063,pDC
8-900,tumor
18-572,macrophage
13-1916,macrophage
13-1797,neutrophil
13-707,endothelial
23-1574,B-cell
23-35,fibroblast
28-291,neutrophil
3-1840,epithelial
3-2161,tumor
23-1241,monocyte
23-270,plasmablast
8-378,fibroblast
8-82,endothelial
13-1872,neutrophil
13-652,neutrophil
8-1904,tumor
8-2066,endothelial
13-1470,endothelial
28-2466,tumor
28-2307,tumor
28-1512,plasmablast
8-2652,tumor
18-1226,neutrophil
18-1024,macrophage
18-290,epithelial
23-557,B-cell
28-1552,macrophage
8-3114,tumor
23-1513,mDC
28-3670,fibroblast
3-102,T CD8 naive
13-1693,neutrophil
13-1372,endothelial
13-1187,plasmablast
28-1733,macrophage
3-1118,pDC
8-511,macrophage
18-1842,neutrophil
28-2926,monocyte
3-1157,fibroblast
3-77,monocyte
13-1168,T CD4 naive
23-91,monocyte
3-258,NK
8-932,tumor
23-2888,T CD4 memory
8-2975,tumor
13-1294,plasmablast
23-2240,fibroblast
23-201,NK
28-2274,tumor
3-153,epithelial
18-1210,neutrophil
28-2391,tumor
28-344,B-cell
28-3012,fibroblast
13-1108,endothelial
23-1990,fibroblast
23-1192,mDC
23-1007,fibroblast
23-723,mast
3-1925,T CD4 naive
13-210,NK
13-171,T CD4 naive
23-2621,mDC
28-3332,pDC
3-1257,epithelial
8-472,fibroblast
13-2042,macrophage
13-1006,neutrophil
8-1296,tumor
18-31,pDC
13-72,macrophage
23-2845,fibroblast
23-1790,T CD4 naive
28-1098,T CD4 memory
28-558,B-cell
3-1184,endothelial
13-1588,macrophage
18-1078,neutrophil
3-2931,neutrophil
3-1601,endothelial
3-39,macrophage
13-2315,macrophage
13-1997,NK
28-216,T CD4 naive
8-1859,tumor
28-3216,fibroblast
28-140,epithelial
8-1042,tumor
3-919,macrophage
8-2468,tumor
13-1777,macrophage
28-1472,T CD4 naive
3-814,epithelial
8-536,fibroblast
28-2813,fibroblast
28-2477,tumor
28-1392,macrophage
28-496,B-cell
28-452,B-cell
3-35,mDC
8-1781,tumor
8-2868,tumor
13-1900,neutrophil
13-102,macrophage
18-1195,neutrophil
13-690,endothelial
28-2338,tumor
28-1853,fibroblast
18-918,macrophage
23-1220,fibroblast
28-2021,mDC
8-1928,tumor
8-348,mast
8-234,epithelial
18-713,B-cell
23-1161,mDC
8-1607,tumor
8-2322,fibroblast
13-1508,macrophage
23-2859,fibroblast
8-1363,tumor
13-1733,neutrophil
28-2888,fibroblast
8-3096,tumor
8-1414,tumor
18-1141,macrophage
18-945,neutrophil
13-870,T CD4 naive
13-613,neutrophil
18-696,mDC
28-1976,NK
13-423,neutrophil
13-238,neutrophil
18-1437,neutrophil
18-666,macrophage
3-1422,tumor
8-1681,tumor
8-655,macrophage
8-613,pDC
13-41,neutrophil
18-1521,macrophage
18-252,plasmablast
18-59,plasmablast
3-1081,epithelial
8-2077,endothelial
13-1830,neutrophil
8-1200,tumor
28-3197,NK
8-2883,tumor
18-1319,neutrophil
8-1805,tumor
28-1016,B-cell
3-1099,pDC
23-1940,pDC
28-2295,tumor
28-242,T CD4 naive
8-1951,tumor
13-2101,neutrophil
13-1675,macrophage
13-2549,pDC
13-724,plasmablast
23-226,plasmablast
28-1655,Treg
28-329,T CD4 naive
8-888,tumor
8-2399,tumor
13-2540,T CD4 naive
28-3097,B-cell
8-602,mast
18-723,neutrophil
8-1887,tumor
8-2485,tumor
8-448,fibroblast
28-2567,tumor
23-2427,monocyte
28-3691,mDC
28-2738,fibroblast
28-1809,fibroblast
28-1708,plasmablast
28-1055,B-cell
23-1791,monocyte
23-907,macrophage
13-2207,neutrophil
13-1308,plasmablast
13-1040,epithelial
8-727,fibroblast
23-2722,plasmablast
23-34,NK
28-1632,T CD4 naive
28-1603,fibroblast
13-1466,epithelial
28-3260,fibroblast
23-2592,mDC
23-1187,mDC
23-562,neutrophil
28-867,mDC
3-1904,mast
3-993,epithelial
8-566,endothelial
18-1085,macrophage
23-1823,monocyte
3-1953,T CD4 naive
8-2666,tumor
13-461,macrophage
3-44,macrophage
18-855,endothelial
23-1721,macrophage
28-2388,tumor
3-2815,endothelial
3-1562,T CD4 naive
13-922,neutrophil
23-1999,fibroblast
23-635,pDC
23-276,macrophage
3-2229,fibroblast
13-1889,macrophage
3-274,neutrophil
28-560,mDC
23-1422,pDC
18-13,macrophage
28-3628,tumor
28-2492,tumor
3-1975,mDC
8-293,mast
23-1599,endothelial
8-113,plasmablast
8-74,epithelial
13-2229,neutrophil
3-1156,T CD4 naive
8-3104,tumor
8-2981,tumor
23-2799,T CD4 naive
23-2669,mDC
28-614,fibroblast
8-2461,tumor
13-2092,neutrophil
23-2652,plasmablast
28-478,B-cell
23-326,monocyte
8-1429,tumor
8-804,mast
23-2294,monocyte
23-1285,macrophage
3-2900,mast
8-1119,tumor
23-717,plasmablast
28-2278,tumor
28-1364,fibroblast
8-2605,tumor
23-1912,fibroblast
13-1935,macrophage
18-1325,tumor
23-2548,monocyte
28-2684,fibroblast
28-373,plasmablast
3-2917,mDC
8-943,tumor
8-314,mast
13-833,neutrophil
8-1323,tumor
8-2428,tumor
23-240,plasmablast
28-2999,macrophage
28-3696,fibroblast
28-1932,tumor
28-732,fibroblast
3-2162,tumor
28-2933,monocyte
28-2332,tumor
13-1577,macrophage
13-188,neutrophil
28-3554,tumor
28-255,T CD4 naive
23-1368,macrophage
28-1553,monocyte
3-1222,epithelial
3-184,epithelial
8-2479,tumor
8-765,neutrophil
8-449,endothelial
13-1985,macrophage
13-437,neutrophil
23-1941,mast
28-933,T CD8 naive
8-2859,tumor
23-432,monocyte
28-2550,tumor
28-1461,macrophage
3-865,fibroblast
3-937,mast
3-342,neutrophil
8-2870,tumor
8-202,endothelial
23-48,monocyte
28-3415,fibroblast
28-127,plasmablast
8-825,tumor
18-101,tumor
18-1570,plasmablast
28-1400,monocyte
8-1762,tumor
8-2251,endothelial
13-215,neutrophil
18-679,neutrophil
28-454,B-cell
3-88,fibroblast
8-125,macrophage
13-1451,epithelial
13-2545,mast
28-3343,fibroblast
28-1067,T CD4 naive
3-823,epithelial
13-1821,NK
23-143,plasmablast
28-658,T CD8 naive
3-2233,fibroblast
8-369,macrophage
13-1736,NK
13-1478,epithelial
23-605,macrophage
23-487,monocyte
13-2553,fibroblast
23-1654,mDC
23-816,NK
18-1833,neutrophil
28-3763,pDC
28-1805,neutrophil
28-3195,neutrophil
8-720,T CD8 naive
13-1794,neutrophil
3-1470,tumor
8-2966,tumor
18-1098,macrophage
23-1811,endothelial
8-2658,tumor
8-1047,tumor
13-2127,neutrophil
13-1640,macrophage
13-1545,epithelial
18-914,macrophage
23-1849,fibroblast
28-2355,tumor
8-459,endothelial
23-548,mDC
8-2402,tumor
3-888,fibroblast
8-1161,tumor
28-2735,neutrophil
28-321,B-cell
13-1353,NK
13-110,neutrophil
18-976,macrophage
28-536,fibroblast
18-1655,fibroblast
28-1908,fibroblast
28-982,fibroblast
3-20,endothelial
13-2175,neutrophil
13-296,neutrophil
28-2496,tumor
3-401,neutrophil
13-802,neutrophil
18-1414,neutrophil
28-3570,tumor
28-1673,plasmablast
28-404,B-cell
23-1836,macrophage
23-2501,T CD4 naive
8-2231,fibroblast
13-89,neutrophil
28-2474,tumor
3-2185,endothelial
18-71,T CD4 naive
13-633,epithelial
13-1382,plasmablast
13-2377,epithelial
23-2812,T CD4 naive
3-1530,tumor
8-1126,tumor
13-2100,neutrophil
28-579,fibroblast
8-1212,tumor
13-1070,epithelial
13-696,plasmablast
13-411,neutrophil
23-1991,fibroblast
23-1738,B-cell
28-3625,tumor
8-2855,tumor
28-1712,macrophage
3-1138,epithelial
8-3105,tumor
13-2293,neutrophil
28-1082,fibroblast
3-2024,mDC
8-430,macrophage
18-1400,macrophage
18-932,macrophage
23-1181,fibroblast
8-2648,tumor
18-1452,NK
28-2415,tumor
3-2086,epithelial
3-1930,fibroblast
13-2371,epithelial
13-35,neutrophil
28-1652,macrophage
8-467,fibroblast
18-1317,T CD4 naive
3-1196,epithelial
3-261,macrophage
8-3090,tumor
18-291,epithelial
28-2120,tumor
28-862,fibroblast
28-206,B-cell
13-161,neutrophil
3-2197,endothelial
13-814,neutrophil
13-322,neutrophil
23-1639,monocyte
13-1669,mDC
18-1123,macrophage
28-2965,plasmablast
28-2548,tumor
18-165,mDC
18-1564,pDC
18-1547,macrophage
28-3142,NK
3-2923,mDC
8-1719,tumor
13-2893,neutrophil
13-2038,B-cell
28-2626,tumor
8-284,fibroblast
23-23,mast
8-728,neutrophil
23-1962,T CD4 naive
28-1619,macrophage
3-1895,epithelial
13-2555,T CD4 memory
18-883,mast
3-2003,T CD4 naive
3-976,tumor
23-274,pDC
28-1985,tumor
8-2360,fibroblast
18-347,epithelial
23-2655,fibroblast
28-691,fibroblast
18-489,endothelial
28-1576,T CD4 naive
3-2590,neutrophil
8-2453,tumor
13-2552,mast
18-1258,neutrophil
23-2594,mDC
8-2897,tumor
13-1925,macrophage
28-2611,tumor
28-296,B-cell
8-2444,tumor
18-1153,monocyte
18-514,macrophage
18-478,neutrophil
3-2909,mast
13-2866,neutrophil
18-1187,neutrophil
23-1705,T CD4 naive
28-1318,fibroblast
8-1233,tumor
8-906,tumor
23-6,NK
28-3346,fibroblast
3-2799,fibroblast
13-1986,macrophage
23-2892,mast
23-1844,plasmablast
23-2397,fibroblast
23-2347,monocyte
13-1708,NK
23-1460,monocyte
23-539,monocyte
13-2262,tumor
28-785,fibroblast
8-141,neutrophil
28-3759,plasmablast
28-2740,macrophage
28-883,T CD8 naive
13-1346,mast
13-99,neutrophil
18-1071,mDC
28-2909,plasmablast
28-1763,plasmablast
8-1763,tumor
23-1785,NK
13-2612,endothelial
8-494,mast
13-1950,neutrophil
18-1298,neutrophil
18-1216,tumor
8-42,neutrophil
8-6,neutrophil
23-930,fibroblast
28-3285,fibroblast
28-1136,fibroblast
28-3220,fibroblast
3-1289,tumor
8-2379,tumor
8-2164,fibroblast
13-1754,macrophage
8-2481,tumor
13-1557,fibroblast
13-1092,epithelial
18-977,macrophage
28-3298,fibroblast
28-365,B-cell
3-203,epithelial
3-2222,T CD8 naive
23-681,mast
23-164,pDC
28-476,macrophage
3-29,tumor
13-2899,neutrophil
18-1007,mast
23-1760,fibroblast
3-2067,mDC
8-739,neutrophil
3-145,fibroblast
8-2497,tumor
8-338,mast
18-1358,neutrophil
18-83,monocyte
23-2285,mDC
28-3590,tumor
3-2919,T CD4 naive
3-1487,neutrophil
23-722,pDC
8-3089,tumor
8-877,tumor
18-208,epithelial
28-3560,tumor
3-310,macrophage
13-1884,macrophage
18-1330,neutrophil
18-1656,fibroblast
28-1486,macrophage
3-2606,neutrophil
3-379,fibroblast
8-2575,tumor
8-2239,endothelial
8-447,mDC
18-1375,tumor
23-2324,pDC
23-2232,fibroblast
23-101,monocyte
28-338,B-cell
3-49,fibroblast
28-1166,fibroblast
13-292,neutrophil
28-2467,tumor
28-552,mDC
8-515,endothelial
13-562,endothelial
28-3730,macrophage
28-3603,tumor
3-2104,mDC
13-2059,neutrophil
28-1584,T CD8 naive
8-542,endothelial
13-1376,plasmablast
23-1640,mDC
23-2007,B-cell
28-3717,neutrophil
28-421,neutrophil
3-1431,macrophage
3-185,T CD4 naive
8-2212,mast
13-1598,macrophage
18-1511,macrophage
18-349,epithelial
18-300,epithelial
8-1253,tumor
8-1722,tumor
18-1103,B-cell
13-2113,mast
28-714,fibroblast
3-1833,neutrophil
3-1154,macrophage
13-2290,macrophage
18-40,T CD4 naive
23-1431,pDC
28-3212,fibroblast
3-1037,macrophage
8-3072,tumor
8-564,endothelial
13-119,neutrophil
18-1124,neutrophil
23-2495,mDC
18-1464,neutrophil
18-1320,neutrophil
23-2476,monocyte
23-2886,fibroblast
13-1800,macrophage
8-2354,fibroblast
28-3299,fibroblast
18-1269,neutrophil
23-1726,fibroblast
23-2543,monocyte
23-12,fibroblast
3-935,neutrophil
8-152,macrophage
13-2221,neutrophil
13-676,endothelial
3-348,endothelial
28-2790,endothelial
8-1117,tumor
8-691,fibroblast
13-1670,neutrophil
18-1627,fibroblast
23-908,neutrophil
23-84,pDC
8-1488,tumor
18-896,endothelial
18-14,mDC
28-1829,pDC
3-1800,tumor
28-3449,tumor
3-2915,epithelial
8-357,fibroblast
13-653,T CD4 naive
13-2346,mDC
23-1869,fibroblast
23-2659,fibroblast
23-735,plasmablast
3-1839,neutrophil
13-107,neutrophil
28-2700,tumor
28-1701,mast
8-1146,tumor
23-1789,endothelial
23-454,monocyte
28-1627,monocyte
3-2792,endothelial
3-984,neutrophil
8-63,neutrophil
28-2618,tumor
3-2045,fibroblast
3-2578,neutrophil
13-1573,endothelial
23-568,monocyte
3-99,NK
8-267,epithelial
28-2532,tumor
28-3146,endothelial
8-958,tumor
28-1885,pDC
28-3189,neutrophil
3-1377,tumor
8-2181,mDC
13-2331,B-cell
23-1963,fibroblast
28-2749,fibroblast
8-2312,endothelial
28-1508,fibroblast
28-3233,fibroblast
28-623,T CD4 naive
8-995,tumor
8-2295,NK
13-1659,neutrophil
13-152,neutrophil
23-1233,fibroblast
28-2108,tumor
28-1209,fibroblast
8-1207,tumor
13-1458,mast
23-1822,monocyte
13-2678,NK
13-759,epithelial
23-1753,endothelial
23-821,fibroblast
28-2972,T CD8 naive
13-1383,pDC
13-907,neutrophil
3-271,neutrophil
8-2236,fibroblast
13-172,macrophage
18-1867,neutrophil
28-3354,fibroblast
28-3194,T CD8 naive
13-1940,neutrophil
13-1864,macrophage
13-1757,macrophage
13-481,endothelial
28-2815,endothelial
3-1073,macrophage
18-334,epithelial
23-2354,NK
8-462,plasmablast
23-2106,monocyte
28-2024,tumor
8-1240,tumor
8-43,neutrophil
18-1287,neutrophil
18-1430,neutrophil
8-1975,tumor
13-2247,neutrophil
13-60,macrophage
28-2865,mDC
13-547,endothelial
18-1381,neutrophil
23-255,macrophage
28-3072,B-cell
13-1128,neutrophil
8-1922,tumor
8-2361,fibroblast
8-2261,fibroblast
23-2953,fibroblast
28-2929,fibroblast
28-2398,tumor
28-2458,tumor
28-2136,tumor
8-521,neutrophil
23-2809,endothelial
23-2609,mDC
8-2415,tumor
13-1909,neutrophil
13-1055,mDC
23-1837,T CD4 naive
23-846,plasmablast
28-584,fibroblast
13-2846,neutrophil
23-2651,fibroblast
3-1210,endothelial
8-656,fibroblast
18-1577,NK
18-22,fibroblast
8-2217,neutrophil
13-896,neutrophil
18-1871,neutrophil
18-92,fibroblast
23-2526,monocyte
28-1940,pDC
8-1251,tumor
13-2856,neutrophil
18-1125,neutrophil
28-1477,neutrophil
3-918,macrophage
3-90,T CD8 naive
13-1245,epithelial
18-1183,macrophage
23-1905,fibroblast
23-2293,monocyte
28-3208,T CD8 naive
3-2864,neutrophil
28-1698,mast
28-1348,macrophage
28-388,epithelial
8-2332,fibroblast
23-1594,NK
13-2088,neutrophil
13-1400,macrophage
13-1098,neutrophil
18-171,epithelial
23-2897,T CD4 naive
23-2186,fibroblast
28-2556,tumor
3-524,tumor
18-1259,neutrophil
8-2371,tumor
13-2833,neutrophil
13-2046,neutrophil
13-1853,mast
13-1495,endothelial
18-1663,endothelial
3-2113,fibroblast
3-837,tumor
8-2449,tumor
13-2008,neutrophil
23-1714,fibroblast
28-2615,tumor
3-121,T CD4 naive
13-2873,neutrophil
23-1966,T CD4 naive
23-741,plasmablast
28-2643,tumor
3-1171,epithelial
13-589,B-cell
13-407,monocyte
18-821,neutrophil
8-3073,tumor
23-893,T CD4 naive
28-2002,epithelial
3-159,neutrophil
8-1867,tumor
8-1733,tumor
28-628,T CD4 naive
8-336,fibroblast
28-1730,monocyte
8-1331,tumor
28-2472,tumor
8-261,macrophage
8-95,macrophage
23-1793,endothelial
28-497,NK
3-1240,endothelial
8-2489,tumor
8-463,T CD4 naive
13-1594,epithelial
18-1455,neutrophil
13-631,endothelial
23-808,neutrophil
13-1292,pDC
8-632,mast
8-207,neutrophil
28-2880,mDC
28-2713,tumor
8-2518,tumor
8-117,neutrophil
23-1613,macrophage
8-2499,tumor
28-979,plasmablast
3-890,neutrophil
13-1890,neutrophil
18-1270,neutrophil
28-1401,fibroblast
3-975,neutrophil
13-484,fibroblast
8-1997,neutrophil
18-1497,neutrophil
28-1806,macrophage
28-3043,fibroblast
3-1931,epithelial
13-1150,neutrophil
28-2028,tumor
28-592,fibroblast
3-1403,tumor
8-3031,tumor
13-2888,neutrophil
18-967,neutrophil
28-724,fibroblast
28-3061,epithelial
13-447,epithelial
18-875,endothelial
18-786,T CD4 naive
23-2485,monocyte
23-2221,neutrophil
28-2515,tumor
13-1939,neutrophil
13-2402,fibroblast
23-1173,fibroblast
23-2434,fibroblast
13-1788,macrophage
28-3355,fibroblast
18-920,epithelial
18-321,mast
18-60,B-cell
23-319,monocyte
28-1489,fibroblast
8-1924,tumor
13-1185,epithelial
23-258,macrophage
8-2225,fibroblast
8-2014,neutrophil
18-805,neutrophil
3-1625,fibroblast
8-2476,tumor
13-2850,neutrophil
23-2414,mDC
3-2611,neutrophil
8-1250,tumor
8-1806,tumor
23-1749,endothelial
23-1459,fibroblast
28-2656,tumor
28-639,endothelial
3-848,tumor
8-149,neutrophil
13-370,macrophage
18-139,mast
8-2389,tumor
28-1077,fibroblast
3-2583,neutrophil
13-903,neutrophil
18-1602,T CD4 naive
28-2438,tumor
28-1676,fibroblast
18-385,epithelial
28-2927,neutrophil
8-414,epithelial
8-2022,neutrophil
18-1446,neutrophil
23-580,pDC
8-1154,tumor
8-193,neutrophil
8-540,mDC
13-31,neutrophil
18-1732,epithelial
18-1611,fibroblast
23-2928,B-cell
23-1832,monocyte
23-2607,NK
28-3378,fibroblast
28-765,T CD4 naive
23-76,monocyte
3-2927,mDC
3-289,NK
23-2860,B-cell
28-2395,tumor
13-2900,neutrophil
23-2807,endothelial
3-392,fibroblast
8-2031,neutrophil
13-1638,endothelial
18-1586,T CD4 naive
28-2554,tumor
8-1691,tumor
8-2537,tumor
8-297,neutrophil
8-29,macrophage
13-2859,neutrophil
13-2509,neutrophil
18-1548,B-cell
8-1313,neutrophil
23-1476,fibroblast
3-93,endothelial
23-1930,B-cell
23-977,fibroblast
28-1838,fibroblast
28-3177,neutrophil
8-3023,tumor
18-1260,neutrophil
3-2355,fibroblast
13-1447,T CD4 naive
3-2163,tumor
8-758,fibroblast
13-1370,endothelial
18-1254,neutrophil
18-1666,endothelial
28-2164,tumor
28-1030,endothelial
28-655,endothelial
3-1030,neutrophil
3-339,epithelial
23-120,mDC
28-308,epithelial
13-1050,neutrophil
13-427,neutrophil
18-1391,neutrophil
3-1265,epithelial
18-839,neutrophil
23-1626,B-cell
3-1054,macrophage
23-744,mDC
28-507,fibroblast
8-2519,tumor
8-97,macrophage
13-1247,plasmablast
28-1285,neutrophil
8-3117,tumor
8-2246,fibroblast
8-350,macrophage
13-2285,macrophage
18-926,epithelial
18-1600,monocyte
28-2797,fibroblast
8-1948,tumor
8-2256,mast
13-1304,plasmablast
13-140,macrophage
18-407,mast
13-2065,neutrophil
13-1162,NK
13-642,endothelial
18-1208,macrophage
23-1703,T CD4 naive
28-3470,tumor
3-2257,epithelial
8-1778,tumor
8-548,endothelial
13-940,B-cell
28-2850,fibroblast
3-2902,epithelial
13-752,neutrophil
28-616,endothelial
8-1222,tumor
8-1168,tumor
13-2613,fibroblast
13-64,macrophage
23-777,macrophage
23-712,neutrophil
28-586,endothelial
3-168,T CD4 naive
13-1987,macrophage
28-2493,tumor
28-3363,fibroblast
8-1860,tumor
18-304,mast
23-1794,endothelial
23-817,monocyte
18-340,endothelial
23-2920,pDC
28-870,fibroblast
13-2419,neutrophil
18-755,endothelial
23-1216,T CD4 naive
23-2251,fibroblast
23-379,fibroblast
8-647,macrophage
13-1229,endothelial
13-572,fibroblast
18-813,neutrophil
23-40,plasmablast
8-2495,tumor
13-2645,endothelial
13-2364,fibroblast
18-1182,neutrophil
28-3668,tumor
28-1965,pDC
28-457,fibroblast
3-1304,tumor
8-2115,NK
13-2514,neutrophil
28-1113,neutrophil
13-2476,neutrophil
28-2705,tumor
28-103,fibroblast
28-2922,plasmablast
28-2101,tumor
28-681,fibroblast
8-1239,tumor
13-1827,macrophage
13-2141,neutrophil
3-1583,epithelial
3-1390,tumor
28-1785,NK
28-1299,neutrophil
3-488,tumor
8-798,mast
13-2518,neutrophil
18-125,mDC
28-1898,pDC
8-2482,tumor
13-1737,T CD4 naive
18-29,T CD4 naive
28-1193,mDC
23-1682,T CD8 naive
28-2416,tumor
28-1539,T CD4 naive
8-2380,tumor
18-267,endothelial
3-971,macrophage
8-603,plasmablast
8-269,neutrophil
18-667,epithelial
18-434,epithelial
28-742,endothelial
3-2618,neutrophil
13-522,fibroblast
18-1773,endothelial
13-2894,neutrophil
13-2394,fibroblast
23-1867,mDC
13-317,neutrophil
18-1606,T CD4 naive
18-1591,monocyte
3-2635,neutrophil
8-3093,tumor
8-2024,neutrophil
8-3047,tumor
8-1903,tumor
8-298,neutrophil
23-1478,fibroblast
28-542,endothelial
8-1272,tumor
8-424,neutrophil
23-67,pDC
13-638,fibroblast
28-2674,tumor
8-560,fibroblast
13-346,macrophage
3-2808,epithelial
3-2240,endothelial
3-1937,epithelial
13-673,epithelial
23-1842,T CD4 naive
3-2164,tumor
13-1796,NK
13-2358,tumor
18-884,endothelial
28-1746,pDC
3-833,tumor
18-55,B-cell
23-673,monocyte
28-1116,neutrophil
3-367,fibroblast
8-2375,tumor
8-120,neutrophil
23-1920,B-cell
13-1608,fibroblast
3-911,neutrophil
3-114,endothelial
23-1208,mDC
28-1261,neutrophil
8-1984,tumor
8-71,neutrophil
28-2242,NK
13-85,neutrophil
18-684,fibroblast
18-1630,monocyte
23-2839,T CD4 naive
23-300,plasmablast
28-624,fibroblast
18-382,monocyte
28-697,fibroblast
28-378,fibroblast
18-1248,epithelial
18-1135,neutrophil
3-335,mast
3-2188,tumor
8-39,macrophage
13-46,tumor
18-1859,NK
18-450,epithelial
23-2911,T CD4 naive
23-584,plasmablast
13-26,neutrophil
18-834,neutrophil
18-143,monocyte
23-1605,B-cell
23-2321,macrophage
28-2984,T CD4 memory
13-1922,tumor
23-1416,fibroblast
23-1029,fibroblast
28-2399,tumor
28-2482,tumor
3-396,fibroblast
18-1483,neutrophil
18-704,plasmablast
18-258,endothelial
28-3391,fibroblast
28-797,macrophage
28-3041,fibroblast
3-428,fibroblast
13-2649,fibroblast
18-1385,monocyte
18-630,epithelial
28-2540,tumor
8-726,fibroblast
8-323,neutrophil
23-1637,fibroblast
23-189,monocyte
3-2046,monocyte
3-1323,neutrophil
3-891,mast
18-530,epithelial
23-1997,neutrophil
23-125,NK
28-1943,T CD4 memory
3-1946,epithelial
8-134,macrophage
28-2327,tumor
28-1148,fibroblast
28-994,endothelial
8-1692,tumor
8-1629,tumor
13-785,macrophage
18-1549,mast
8-1823,tumor
28-2525,tumor
13-1459,endothelial
13-2528,epithelial
13-237,macrophage
18-373,fibroblast
23-1942,NK
23-1218,T CD8 naive
28-587,fibroblast
13-1336,plasmablast
13-2515,neutrophil
18-236,mast
23-1133,mDC
28-3665,tumor
28-1794,mDC
28-882,B-cell
3-1982,T CD4 naive
8-379,neutrophil
18-332,monocyte
23-2826,B-cell
28-2710,tumor
28-1622,fibroblast
18-593,endothelial
23-2618,fibroblast
23-2327,neutrophil
28-2089,tumor
18-1107,monocyte
23-1672,T CD4 naive
23-2331,monocyte
8-1776,tumor
13-2538,endothelial
23-1072,B-cell
28-1041,endothelial
3-482,tumor
13-1283,pDC
8-653,fibroblast
28-243,fibroblast
3-1261,neutrophil
13-1003,macrophage
23-874,mDC
28-753,mast
8-2367,tumor
13-1579,endothelial
13-57,mast
8-1377,tumor
18-929,macrophage
18-1566,T CD4 naive
23-641,neutrophil
23-2205,fibroblast
18-105,mDC
28-3562,tumor
3-2173,tumor
18-890,endothelial
8-227,neutrophil
13-252,macrophage
23-2933,T CD4 naive
28-3349,macrophage
3-174,T CD8 naive
23-2505,neutrophil
23-2386,mDC
28-2948,fibroblast
13-2323,macrophage
23-1107,fibroblast
28-3104,fibroblast
28-2645,tumor
8-1759,neutrophil
18-1738,mast
18-474,epithelial
18-91,pDC
3-1456,neutrophil
13-129,macrophage
18-412,endothelial
18-68,B-cell
23-2718,B-cell
23-1487,endothelial
23-2093,neutrophil
28-561,fibroblast
3-1378,tumor
13-1994,neutrophil
18-749,mast
18-307,fibroblast
28-860,endothelial
3-1010,neutrophil
13-2844,macrophage
13-2032,neutrophil
18-986,neutrophil
28-76,endothelial
3-58,NK
8-1679,tumor
23-2853,B-cell
3-1912,endothelial
28-332,fibroblast
13-856,neutrophil
28-2866,monocyte
28-2608,tumor
8-1774,neutrophil
8-1420,tumor
8-433,tumor
8-1998,macrophage
23-2837,macrophage
28-111,fibroblast
23-1893,B-cell
3-1066,tumor
13-1250,endothelial
13-2366,neutrophil
18-1691,fibroblast
23-144,plasmablast
8-264,neutrophil
28-2619,tumor
3-2017,mDC
3-2716,neutrophil
3-441,epithelial
8-1824,tumor
8-2323,fibroblast
13-1354,plasmablast
13-544,epithelial
18-1126,pDC
23-2334,plasmablast
28-175,fibroblast
8-2349,tumor
8-397,neutrophil
13-2244,macrophage
3-380,mDC
18-1760,endothelial
28-1911,pDC
3-1435,neutrophil
3-1321,neutrophil
8-2228,neutrophil
13-2486,mast
13-622,fibroblast
18-1386,neutrophil
23-2656,endothelial
8-2191,neutrophil
